Daily,dummy_series
20/04/2021,484.5000817
21/04/2021,430.8734226
22/04/2021,335.4154784
23/04/2021,262.700982
24/04/2021,230.3272631
25/04/2021,209.6838764
26/04/2021,534.2370744
27/04/2021,497.4378951
28/04/2021,395.5747526
29/04/2021,325.538827
30/04/2021,229.069101
01/05/2021,236.8300612
02/05/2021,287.8213705
03/05/2021,561.551763
04/05/2021,514.9578621
05/05/2021,372.4808663
06/05/2021,364.2410082
07/05/2021,281.4319732
08/05/2021,203.5006673
09/05/2021,285.1688425
10/05/2021,530.4686041
11/05/2021,489.5650603
12/05/2021,396.9353735
13/05/2021,385.9299598
14/05/2021,307.5177284
15/05/2021,241.007925
16/05/2021,315.5181544
17/05/2021,600.0501427
18/05/2021,476.4919297
19/05/2021,423.0569519
20/05/2021,349.2800848
21/05/2021,284.3792673
22/05/2021,227.0853355
23/05/2021,224.3808649
24/05/2021,589.5009553
25/05/2021,464.0529458
26/05/2021,411.2074242
27/05/2021,352.0293139
28/05/2021,330.9350287
29/05/2021,203.398227
30/05/2021,217.7248599
31/05/2021,478.229279
01/06/2021,467.9213186
02/06/2021,384.4937974
03/06/2021,346.5477927
04/06/2021,260.6141307
05/06/2021,222.0347346
06/06/2021,170.1458338
07/06/2021,522.2346328
08/06/2021,498.2612946
09/06/2021,352.8014688
10/06/2021,331.2641177
11/06/2021,278.8790521
12/06/2021,251.4684847
13/06/2021,249.8796805
14/06/2021,474.9635978
15/06/2021,454.4378228
16/06/2021,412.1166325
17/06/2021,364.0957285
18/06/2021,286.8606982
19/06/2021,223.908198
20/06/2021,255.8314003
21/06/2021,524.178621
22/06/2021,444.7219848
23/06/2021,390.436513
24/06/2021,402.9311046
25/06/2021,253.5956388
26/06/2021,204.8615096
27/06/2021,163.202933
28/06/2021,530.3531621
29/06/2021,441.2568703
30/06/2021,452.7029848
01/07/2021,312.1289933
02/07/2021,279.6109383
03/07/2021,237.7055078
04/07/2021,194.0275607
05/07/2021,463.521164
06/07/2021,454.2986055
07/07/2021,374.9130234
08/07/2021,334.6177927
09/07/2021,246.9694583
10/07/2021,167.5938387
11/07/2021,167.2948294
12/07/2021,495.7824079
13/07/2021,397.060156
14/07/2021,275.8323551
15/07/2021,281.4238379
16/07/2021,168.4125908
17/07/2021,186.6414205
18/07/2021,189.8590865
19/07/2021,450.0743834
20/07/2021,397.1420551
21/07/2021,303.1430994
22/07/2021,251.834133
23/07/2021,189.9610267
24/07/2021,101.4070657
25/07/2021,81.6434594
26/07/2021,469.3314117
27/07/2021,408.9690444
28/07/2021,369.7358437
29/07/2021,232.3016177
30/07/2021,227.3870176
31/07/2021,190.1329351
01/08/2021,224.3891379
02/08/2021,474.1412963
03/08/2021,441.6364821
04/08/2021,335.2160543
05/08/2021,304.8344914
06/08/2021,200.7913599
07/08/2021,156.9087395
08/08/2021,140.5113347
09/08/2021,440.5717365
10/08/2021,328.2492252
11/08/2021,314.4668813
12/08/2021,236.0752615
13/08/2021,244.8765695
14/08/2021,133.282305
15/08/2021,150.372212
16/08/2021,498.8453352
17/08/2021,357.625629
18/08/2021,331.2943207
19/08/2021,238.4268979
20/08/2021,231.740771
21/08/2021,147.782448
22/08/2021,148.3391546
23/08/2021,461.0140226
24/08/2021,388.6140452
25/08/2021,361.1719246
26/08/2021,258.8404909
27/08/2021,228.079499
28/08/2021,190.4208648
29/08/2021,134.2940665
30/08/2021,467.0510947
31/08/2021,372.1176545
01/09/2021,367.0644593
02/09/2021,211.6656857
03/09/2021,243.1251688
04/09/2021,173.66256
05/09/2021,193.7687842
06/09/2021,428.9086789
07/09/2021,369.2858685
08/09/2021,330.2191363
09/09/2021,253.1235377
10/09/2021,241.9668989
11/09/2021,127.9274264
12/09/2021,188.1527256
13/09/2021,429.2008223
14/09/2021,354.3821349
15/09/2021,317.5615095
16/09/2021,212.9896984
17/09/2021,186.1606858
18/09/2021,135.3468805
19/09/2021,147.4509855
20/09/2021,480.4824988
21/09/2021,405.9590081
22/09/2021,349.3770671
23/09/2021,245.5403306
24/09/2021,194.9305128
25/09/2021,148.1571121
26/09/2021,99.85735648
27/09/2021,463.1530558
28/09/2021,411.9930772
29/09/2021,309.5689263
30/09/2021,278.5213385
01/10/2021,219.4599599
02/10/2021,142.734857
03/10/2021,124.8331552
04/10/2021,500.9245823
05/10/2021,421.4166555
06/10/2021,384.7505329
07/10/2021,328.1148941
08/10/2021,222.7243298
09/10/2021,155.1161233
10/10/2021,174.995242
11/10/2021,477.4964734
12/10/2021,368.515584
13/10/2021,340.758919
14/10/2021,315.5517339
15/10/2021,206.0592925
16/10/2021,214.5882939
17/10/2021,181.0234188
18/10/2021,485.8339537
19/10/2021,461.3897821
20/10/2021,374.9296378
21/10/2021,360.8681309
22/10/2021,263.9172906
23/10/2021,201.8756107
24/10/2021,145.3758486
25/10/2021,481.567835
26/10/2021,389.1444834
27/10/2021,370.2463764
28/10/2021,293.7741068
29/10/2021,245.9775703
30/10/2021,190.2104888
31/10/2021,212.9632042
01/11/2021,512.4796397
02/11/2021,372.1127427
03/11/2021,384.0190147
04/11/2021,330.0802773
05/11/2021,299.0817564
06/11/2021,259.1041878
07/11/2021,182.870674
08/11/2021,532.8477613
09/11/2021,462.0956292
10/11/2021,442.9387481
11/11/2021,369.6604275
12/11/2021,305.5255213
13/11/2021,237.9034498
14/11/2021,268.9756913
15/11/2021,582.6193873
16/11/2021,532.68622
17/11/2021,437.5853158
18/11/2021,385.019516
19/11/2021,286.7497323
20/11/2021,316.7793032
21/11/2021,266.2239624
22/11/2021,537.9546529
23/11/2021,440.3731307
24/11/2021,435.1178949
25/11/2021,349.9116661
26/11/2021,341.050607
27/11/2021,219.9915819
28/11/2021,271.9315225
29/11/2021,572.2860811
30/11/2021,486.3544092
01/12/2021,461.1169728
02/12/2021,449.4462783
03/12/2021,300.5443262
04/12/2021,318.2754517
05/12/2021,293.4212746
06/12/2021,621.1059269
07/12/2021,585.3075339
08/12/2021,515.1495828
09/12/2021,454.1375314
10/12/2021,384.2439997
11/12/2021,289.4460185
12/12/2021,309.2104061
13/12/2021,594.0883636
14/12/2021,568.0004526
15/12/2021,502.9584307
16/12/2021,474.7200656
17/12/2021,406.7297872
18/12/2021,350.4795813
19/12/2021,320.2866045
20/12/2021,695.5328484
21/12/2021,622.7124407
22/12/2021,537.1543852
23/12/2021,462.1248729
24/12/2021,412.0339446
25/12/2021,355.3379851
26/12/2021,385.4533829
27/12/2021,648.3045951
28/12/2021,620.41705
29/12/2021,533.5071025
30/12/2021,508.2433577
31/12/2021,412.6467177
01/01/2022,394.2008496
02/01/2022,429.3709396
03/01/2022,719.4247636
04/01/2022,663.1304385
05/01/2022,563.8089584
06/01/2022,536.6874437
07/01/2022,448.3474751
08/01/2022,373.9236712
09/01/2022,364.6911307
10/01/2022,697.1125841
11/01/2022,662.7711609
12/01/2022,592.1332947
13/01/2022,495.937334
14/01/2022,458.7640772
15/01/2022,429.0786762
16/01/2022,411.7757652
17/01/2022,678.3139598
18/01/2022,608.7597236
19/01/2022,639.2476177
20/01/2022,583.5989638
21/01/2022,515.6759211
22/01/2022,477.398806
23/01/2022,451.9783277
24/01/2022,756.0306565
25/01/2022,710.4880938
26/01/2022,603.422299
27/01/2022,618.7873558
28/01/2022,479.4607249
29/01/2022,428.8936385
30/01/2022,476.1516598
31/01/2022,753.4216158
01/02/2022,736.1791053
02/02/2022,620.1931721
03/02/2022,635.1922136
04/02/2022,521.5049256
05/02/2022,489.5408122
06/02/2022,500.5338876
07/02/2022,733.6209469
08/02/2022,737.6484008
09/02/2022,698.4033357
10/02/2022,627.4576338
11/02/2022,557.4526732
12/02/2022,474.4672939
13/02/2022,508.226782
14/02/2022,821.3622906
15/02/2022,771.6875874
16/02/2022,688.8363816
17/02/2022,642.4063383
18/02/2022,586.7697203
19/02/2022,513.2359031
20/02/2022,493.4916096
21/02/2022,842.1282794
22/02/2022,795.3385257
23/02/2022,714.3700374
24/02/2022,660.06807
25/02/2022,593.7831289
26/02/2022,534.9758991
27/02/2022,523.3197436
28/02/2022,808.1056007
01/03/2022,746.2444307
02/03/2022,735.4469963
03/03/2022,654.0668324
04/03/2022,633.4657101
05/03/2022,505.7654856
06/03/2022,608.0271253
07/03/2022,827.1052151
08/03/2022,820.398926
09/03/2022,791.2907056
10/03/2022,649.5672171
11/03/2022,635.8910139
12/03/2022,599.1709763
13/03/2022,574.1946618
14/03/2022,869.9073976
15/03/2022,752.0192608
16/03/2022,798.9634609
17/03/2022,697.8682921
18/03/2022,601.5213928
19/03/2022,558.1648002
20/03/2022,593.4322969
21/03/2022,873.2030514
22/03/2022,809.9320573
23/03/2022,768.5862748
24/03/2022,693.15703
25/03/2022,626.146584
26/03/2022,651.7898135
27/03/2022,576.8241483
28/03/2022,866.4475406
29/03/2022,844.6614226
30/03/2022,775.3965194
31/03/2022,722.0303493
01/04/2022,668.9147809
02/04/2022,558.3544616
03/04/2022,593.7067137
04/04/2022,839.576451
05/04/2022,811.3508588
06/04/2022,732.97983
07/04/2022,733.3760757
08/04/2022,636.1092448
09/04/2022,641.64574
10/04/2022,573.2178936
11/04/2022,899.570549
12/04/2022,809.3922542
13/04/2022,827.4797517
14/04/2022,756.221875
15/04/2022,685.3403845
16/04/2022,569.7321825
17/04/2022,626.2850814
18/04/2022,907.0609365
19/04/2022,867.5999896
20/04/2022,829.4892185
21/04/2022,675.5391012
22/04/2022,682.9645618
23/04/2022,611.4278691
24/04/2022,555.9593231
25/04/2022,895.5182201
26/04/2022,803.7080714
27/04/2022,769.9943863
28/04/2022,683.6277133
29/04/2022,652.9204964
30/04/2022,605.554759
01/05/2022,626.8153475
02/05/2022,910.815049
03/05/2022,867.6488223
04/05/2022,776.7079991
05/05/2022,731.6747429
06/05/2022,652.1267742
07/05/2022,623.8600127
08/05/2022,619.9429002
09/05/2022,813.83188
10/05/2022,811.4614507
11/05/2022,825.4880926
12/05/2022,705.0552506
13/05/2022,679.9568607
14/05/2022,627.5154828
15/05/2022,635.0343529
16/05/2022,888.8704067
17/05/2022,823.4655704
18/05/2022,787.9022986
19/05/2022,731.0022857
20/05/2022,694.6261943
21/05/2022,577.8435266
22/05/2022,527.2914842
23/05/2022,869.3498702
24/05/2022,830.2302197
25/05/2022,802.7440422
26/05/2022,754.9335226
27/05/2022,633.5111393
28/05/2022,600.9937695
29/05/2022,630.9761146
30/05/2022,870.104293
31/05/2022,815.0029006
01/06/2022,705.3467171
02/06/2022,722.5096503
03/06/2022,633.0997653
04/06/2022,615.1713595
05/06/2022,599.460302
06/06/2022,904.0878863
07/06/2022,801.8694906
08/06/2022,779.6913974
09/06/2022,689.0722023
10/06/2022,649.5701786
11/06/2022,626.0657708
12/06/2022,596.8536667
13/06/2022,816.8616708
14/06/2022,809.6735597
15/06/2022,809.0978573
16/06/2022,701.7258065
17/06/2022,621.2114479
18/06/2022,604.4041397
19/06/2022,522.864445
20/06/2022,827.7258098
21/06/2022,865.4951269
22/06/2022,777.6744816
23/06/2022,673.5378126
24/06/2022,609.6203776
25/06/2022,534.6957771
26/06/2022,508.995314
27/06/2022,867.5441152
28/06/2022,816.6905471
29/06/2022,683.7696805
30/06/2022,688.7950346
01/07/2022,593.4791315
02/07/2022,579.5533563
03/07/2022,558.0999251
04/07/2022,861.0861585
05/07/2022,801.6694914
06/07/2022,737.0206525
07/07/2022,708.9365471
08/07/2022,545.7138452
09/07/2022,575.8738264
10/07/2022,533.9999308
11/07/2022,860.209433
12/07/2022,831.7697882
13/07/2022,773.9789908
14/07/2022,625.8883757
15/07/2022,628.0707311
16/07/2022,548.9501296
17/07/2022,585.0966929
18/07/2022,822.7808784
19/07/2022,734.3092783
20/07/2022,705.0852233
21/07/2022,625.4042737
22/07/2022,559.5228843
23/07/2022,545.408586
24/07/2022,512.5744004
25/07/2022,853.885116
26/07/2022,786.6152746
27/07/2022,660.7783053
28/07/2022,660.0983898
29/07/2022,602.9349734
30/07/2022,551.6660227
31/07/2022,522.5231418
01/08/2022,832.0446711
02/08/2022,765.445453
03/08/2022,719.7925283
04/08/2022,629.3203616
05/08/2022,546.3921658
06/08/2022,540.0734172
07/08/2022,456.1232853
08/08/2022,793.7187131
09/08/2022,781.9975513
10/08/2022,719.6642362
11/08/2022,619.1549836
12/08/2022,563.8644423
13/08/2022,577.6903963
14/08/2022,544.4172075
15/08/2022,826.5393331
16/08/2022,718.672367
17/08/2022,680.5136324
18/08/2022,646.4415946
19/08/2022,577.0176839
20/08/2022,538.2094303
21/08/2022,541.2408945
22/08/2022,828.7419428
23/08/2022,705.2040212
24/08/2022,667.9539801
25/08/2022,633.2611622
26/08/2022,568.8261015
27/08/2022,522.8448933
28/08/2022,508.8638876
29/08/2022,812.3092669
30/08/2022,736.6674627
31/08/2022,658.516395
01/09/2022,600.4819488
02/09/2022,547.1980802
03/09/2022,516.4026043
04/09/2022,498.3593594
05/09/2022,819.5559688
06/09/2022,758.8698672
07/09/2022,690.3013702
08/09/2022,627.0509154
09/09/2022,578.4972465
10/09/2022,533.8142648
11/09/2022,514.1956216
12/09/2022,844.5170942
13/09/2022,769.9822339
14/09/2022,650.2487038
15/09/2022,602.5977572
16/09/2022,569.5522772
17/09/2022,503.2685993
18/09/2022,542.2157668
19/09/2022,799.5091519
20/09/2022,758.5575758
21/09/2022,673.2859388
22/09/2022,654.7801681
23/09/2022,540.7487301
24/09/2022,497.3424305
25/09/2022,521.5498562
26/09/2022,805.4198838
27/09/2022,752.6163032
28/09/2022,702.1693749
29/09/2022,599.9736432
30/09/2022,553.1201893
01/10/2022,527.778604
02/10/2022,511.2103746
03/10/2022,826.8322766
04/10/2022,743.5914526
05/10/2022,722.4133609
06/10/2022,644.4469329
07/10/2022,584.3846573
08/10/2022,487.3692764
09/10/2022,572.7363903
10/10/2022,838.2231617
11/10/2022,785.9322157
12/10/2022,690.2278391
13/10/2022,661.1108604
14/10/2022,575.578464
15/10/2022,550.5002192
16/10/2022,553.5517576
17/10/2022,849.8179675
18/10/2022,801.3730666
19/10/2022,703.2028436
20/10/2022,694.8190489
21/10/2022,642.2372663
22/10/2022,588.5324909
23/10/2022,531.008156
24/10/2022,832.3980933
25/10/2022,785.2422696
26/10/2022,688.2625393
27/10/2022,706.0885126
28/10/2022,610.6111174
29/10/2022,524.2839915
30/10/2022,526.2641585
31/10/2022,875.6187271
